Message_ID,Error_Correction_Applied,Transmission_Time (ms),Error_Rate (%),Throughput (Mbps),Data_Integrity (%),processed_Original_Message,processed_Transmitted_Message,processed_Corrected_Message,processed_Encryption_Type,processed_Encrypted_Message,processed_Decrypted_Message,processed_Authentication_Status,Target
2218,1,7.27,1.96,56.57,98.04,arriving train maintenance station arriving maintenance,arriving train maintetance station arriving maintenance,arriving train maintenance station arriving maintenance,,,arriving train maintenance station arriving maintenance,success,Secure
2219,1,13.28,1.39,53.43,98.61,arriving delay station maintenance departing,arriving delay station maintenance departmng,arriving delay station maintenance departing,blowfish,,arriving delay station maintenance departing,failure,Not Secure
2220,0,7.15,1.07,57.51,98.93,train delay maintenance,train delay maintenance,train delay maintenance,blowfish,,train delay maintenance,success,Secure
2221,1,5.03,1.36,51.37,98.64,arriving arriving train maintenance station arriving,arrivinl arriving train maintenance station arriving,arriving arriving train maintenance station arriving,,,arriving arriving train maintenance station arriving,success,Secure
2222,0,6.64,1.17,50.7,98.83,departing train departing station,departing train departing station,departing train departing station,rsa,,departing train departing station,success,Secure
2223,0,7.11,1.06,51.18,98.94,departing maintenance arriving station,departing maintenance arriving station,departing maintenance arriving station,rsa,,departing maintenance arriving station,success,Secure
2224,0,5.35,0.78,52.37,99.22,train train station departing departing train,train train station departing departing train,train train station departing departing train,blowfish,,train train station departing departing train,success,Secure
2225,0,9.07,1.89,54.59,98.11,train delay maintenance station,train delay maintenance station,train delay maintenance station,blowfish,,train delay maintenance station,failure,Not Secure
2226,0,8.12,0.78,59.08,99.22,train arriving delay maintenance delay departing,train arriving delay maintenance delay departing,train arriving delay maintenance delay departing,,,train arriving delay maintenance delay departing,failure,Not Secure
2227,0,7.42,0.87,52.45,99.13,departing departing maintenance station maintenance arriving,departing departing maintenance station maintenance arriving,departing departing maintenance station maintenance arriving,,,departing departing maintenance station maintenance arriving,failure,Not Secure
2228,0,9.01,0.08,56.27,99.92,delay train maintenance arriving station,delay train maintenance arriving station,delay train maintenance arriving station,,,delay train maintenance arriving station,failure,Not Secure
2229,0,11.98,0.4,54.33,99.6,train station maintenance train maintenance,train station maintenance train maintenance,train station maintenance train maintenance,,,train station maintenance train maintenance,failure,Not Secure
2230,0,9.88,1.3,53.64,98.7,maintenance train maintenance station arriving,maintenance train maintenance station arriving,maintenance train maintenance station arriving,rsa,,maintenance train maintenance station arriving,failure,Not Secure
2231,0,13.84,0.4,55.15,99.6,station station departing,station station departing,station station departing,,,station station departing,success,Secure
2232,0,5.52,1.87,54.76,98.13,train departing departing maintenance,train departing departing maintenance,train departing departing maintenance,,,train departing departing maintenance,success,Secure
2233,0,11.64,1.97,57.04,98.03,delay departing departing,delay departing departing,delay departing departing,,,delay departing departing,failure,Not Secure
2234,1,7.94,1.17,56.55,98.83,arriving arriving train delay delay,arriving arriving train delay delay,arriving arriving train delay delay,,,arriving arriving train delay delay,failure,Not Secure
2235,0,7.25,1.55,54.13,98.45,station train departing delay train train,station train departing delay train train,station train departing delay train train,rsa,,station train departing delay train train,success,Secure
2236,1,5.6,1.9,51.08,98.1,station maintenance station station,swation maintenance station station,station maintenance station station,blowfish,,station maintenance station station,failure,Not Secure
2237,0,6.54,0.36,50.02,99.64,train departing,train departing,train departing,,,train departing,success,Secure
2238,1,13.17,0.51,55.73,99.49,delay delay train departing delay departing,delay delay train departing delay depariing,delay delay train departing delay departing,,,delay delay train departing delay departing,failure,Not Secure
2239,0,12.38,1.55,56.12,98.45,arriving delay departing arriving arriving maintenance,arriving delay departing arriving arriving maintenance,arriving delay departing arriving arriving maintenance,,,arriving delay departing arriving arriving maintenance,failure,Not Secure
2240,1,6.77,1.54,53.32,98.46,station arriving maintenance maintenance,statzon arriving maintenance maintenance,station arriving maintenance maintenance,rsa,,station arriving maintenance maintenance,failure,Not Secure
2241,0,13.62,1.46,57.76,98.54,station train train station maintenance delay arriving,station train train station maintenance delay arriving,station train train station maintenance delay arriving,rsa,,station train train station maintenance delay arriving,failure,Not Secure
2242,0,9.29,0.63,59.18,99.37,maintenance departing delay station,maintenance departing delay station,maintenance departing delay station,rsa,,maintenance departing delay station,failure,Not Secure
2243,0,11.87,0.61,55.37,99.39,maintenance train delay station maintenance maintenance,maintenance train delay station maintenance maintenance,maintenance train delay station maintenance maintenance,blowfish,,maintenance train delay station maintenance maintenance,success,Secure
2244,0,11.39,0.51,53.27,99.49,maintenance departing departing departing departing,maintenance departing departing departing departing,maintenance departing departing departing departing,blowfish,,maintenance departing departing departing departing,failure,Not Secure
2245,0,10.49,0.59,51.99,99.41,departing maintenance delay train station arriving station,departing maintenance delay train station arriving station,departing maintenance delay train station arriving station,,,departing maintenance delay train station arriving station,success,Secure
2246,0,14.93,1.47,56.02,98.53,station station station,station station station,station station station,,,station station station,success,Secure
2247,0,13.55,1.24,51.65,98.76,arriving delay delay departing arriving departing,arriving delay delay departing arriving departing,arriving delay delay departing arriving departing,rsa,,arriving delay delay departing arriving departing,failure,Not Secure
2248,0,12.25,0.88,57.45,99.12,train delay departing station maintenance,train delay departing station maintenance,train delay departing station maintenance,,,train delay departing station maintenance,failure,Not Secure
2249,0,14.53,0.38,53.32,99.62,departing departing arriving arriving,departing departing arriving arriving,departing departing arriving arriving,rsa,,departing departing arriving arriving,failure,Not Secure
2250,0,13.43,0.53,50.63,99.47,arriving delay arriving arriving train,arriving delay arriving arriving train,arriving delay arriving arriving train,rsa,,arriving delay arriving arriving train,success,Secure
2251,0,12.18,0.77,53.09,99.23,maintenance maintenance maintenance arriving station maintenance,maintenance maintenance maintenance arriving station maintenance,maintenance maintenance maintenance arriving station maintenance,rsa,,maintenance maintenance maintenance arriving station maintenance,success,Secure
2252,0,11.73,1.43,50.64,98.57,arriving train arriving arriving station,arriving train arriving arriving station,arriving train arriving arriving station,,,arriving train arriving arriving station,success,Secure
